keep,rand,default,loan_amount,emp_length,home_ownership,income,loan_purpose,debt_to_income,credit_score,recent_inquiry,delinquent,credit_accounts,bad_public_record,credit_utilization,past_bankrupt
1,0.130465246,0,LOW,10+ years,RENT,LOW,credit_card,HIGH,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
1,0.998150978,1,LOW,< 2 years,RENT,LOW,car,LOW,AVERAGE,YES,NEVER,FEW,NO,LOW,NO
0,0.628275577,0,LOW,10+ years,RENT,LOW,small_business,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.252407153,0,MEDIUM,10+ years,RENT,MEDIUM,other,HIGH,AVERAGE,YES,MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
0,0.474454596,0,LOW,< 2 years,RENT,HIGH,other,AVERAGE,AVERAGE,NO,MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
0,0.749931667,0,LOW,2 - 5 years,RENT,LOW,wedding,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
0,0.883247158,0,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
1,0.154442128,0,LOW,6 - 9 years,RENT,MEDIUM,car,LOW,LOW,YES,NEVER,FEW,NO,HIGH,NO
1,0.571334581,1,MEDIUM,2 - 5 years,OWN,MEDIUM,small_business,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.850083838,1,LOW,< 2 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
0,0.991975792,0,MEDIUM,2 - 5 years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,LOW,NO
0,0.732158863,0,MEDIUM,10+ years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
1,0.547378195,1,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
0,0.663678477,0,LOW,2 - 5 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
1,0.368135154,1,MEDIUM,2 - 5 years,RENT,HIGH,other,LOW,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
0,0.246598593,0,LOW,< 2 years,RENT,LOW,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
0,0.61619461,0,MEDIUM,2 - 5 years,RENT,MEDIUM,home_improvement,HIGH,LOW,YES,MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
